entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2024-04-19,399.12,2.5055121266786933,391.1376,419.076,CLOSED,1000.0,2024-04-30,389.33,-24.528963720184457,STOP-LOSS
2024-05-01,394.94,2.469922105331989,387.0412,414.687,CLOSED,975.4710362798156,2024-05-10,414.74,48.904457685573405,TARGET HIT
2024-07-24,428.9,2.3883783958157827,420.32199999999995,450.34499999999997,CLOSED,1024.375493965389,2024-07-25,418.4,-25.077973156065717,STOP-LOSS
2024-07-26,425.27,2.3497954730155515,416.7646,446.5335,CLOSED,999.2975208093235,2024-08-02,408.49,-39.42956803720089,STOP-LOSS
2024-08-05,395.15,2.429122998284506,387.24699999999996,414.90749999999997,CLOSED,959.8679527721226,2024-08-14,416.86,52.73626029275672,TARGET HIT
2024-10-07,409.54,2.4725404430943967,401.3492,430.01700000000005,CLOSED,1012.6042130648793,2024-10-29,431.95,55.40963132974535,TARGET HIT
2025-01-02,418.58,2.5515166620350342,410.2084,439.509,CLOSED,1068.0138443946246,2025-01-22,446.2,70.47289020540765,TARGET HIT
