entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-27,410.68,2.434985877081913,402.4664,431.214,CLOSED,1000.0,2023-11-03,434.69,58.46401090873671,TARGET HIT
2024-04-17,500.55,2.1146019596618455,490.539,525.5775,CLOSED,1058.4640109087368,2024-05-15,529.78,61.809815280915664,TARGET HIT
2024-08-05,517.38,2.1652824349407642,507.0324,543.249,CLOSED,1120.2738261896525,2024-08-14,543.75,57.098497809387965,TARGET HIT
