entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-26,123.44,8.101101749837978,120.9712,129.612,CLOSED,1000.0,2023-11-03,130.37,56.14063512637725,TARGET HIT
2024-02-16,141.76,7.450201997223316,138.92479999999998,148.84799999999998,CLOSED,1056.1406351263772,2024-02-26,138.75,-22.425108011642113,STOP-LOSS
2024-03-01,138.08,7.486352311085856,135.3184,144.984,CLOSED,1033.715527114735,2024-03-04,134.2,-29.047046967013298,STOP-LOSS
2024-03-05,133.78,7.509855584898503,131.1044,140.469,CLOSED,1004.6684801477218,2024-03-13,140.77,52.4938905384406,TARGET HIT
2024-07-25,169.16,6.24948197378909,165.77679999999998,177.618,CLOSED,1057.1623706861624,2024-08-05,160.64,-53.24558641668311,STOP-LOSS
2024-08-06,160.54,6.2533747618629585,157.3292,168.567,CLOSED,1003.9167842694793,2024-08-20,168.96,52.65341549488621,TARGET HIT
2024-09-06,152.13,6.945179778902028,149.0874,159.7365,CLOSED,1056.5701997643655,2024-09-17,160.28,56.603215198051565,TARGET HIT
