entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-26,343.66,2.9098527614502703,336.7868,360.843,CLOSED,1000.0,2023-11-02,363.44,57.55688762148627,TARGET HIT
2024-04-19,414.65,2.550480857642557,406.35699999999997,435.3825,CLOSED,1057.556887621486,2024-05-03,435.48,53.126516264694565,TARGET HIT
2024-07-25,458.27,2.4236441483976274,449.10459999999995,481.1835,CLOSED,1110.6834038861807,2024-08-02,448.75,-23.07309229274537,STOP-LOSS
2024-08-05,435.37,2.49812874473077,426.6626,457.1385,CLOSED,1087.6103115934352,2024-08-13,462.58,67.9740831441242,TARGET HIT
