entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2024-05-03,24.22,41.28819157720892,23.735599999999998,25.431,CLOSED,1000.0,2024-05-09,25.86,67.71263418662265,TARGET HIT
2024-07-25,25.41,42.01938741387732,24.901799999999998,26.680500000000002,CLOSED,1067.7126341866226,2024-08-05,24.86,-23.110663077632555,STOP-LOSS
2024-08-06,24.64,42.394560515786935,24.1472,25.872000000000003,CLOSED,1044.60197110899,2024-08-16,26.43,75.88626332325858,TARGET HIT
2024-11-11,27.97,40.06035875696277,27.4106,29.3685,CLOSED,1120.4882344322486,2024-12-18,26.85,-44.8676018077982,STOP-LOSS
2024-12-30,26.43,40.696959236642094,25.9014,27.7515,CLOSED,1075.6206326244505,2025-01-15,27.96,62.26634763206245,TARGET HIT
