entry_date,entry_price,shares,stop_loss,target_price,status,cost_of_trade,exit_date,exit_price,profit_loss,reason
2023-10-31,40.78,24.521824423737126,39.9644,42.819,CLOSED,1000.0,2023-11-02,43.506,66.84649337910739,TARGET HIT
2024-04-19,76.2,14.000610149332118,74.676,80.01,CLOSED,1066.8464933791074,2024-04-23,82.423,87.12579695929375,TARGET HIT
2024-07-30,103.73,11.1247690189762,101.6554,108.91650000000001,CLOSED,1153.9722903384013,2024-07-31,117.02,147.8481802621936,TARGET HIT
2024-09-09,106.47,12.227110647136236,104.3406,111.79350000000001,CLOSED,1301.820470600595,2024-09-11,116.91,127.65103515610228,TARGET HIT
